class_id,common_name_en,common_name_ua,count
1,Hematocrit [Volume Fraction] of Blood by Automated count,"Гематокрит [об'ємна частка] у крові, автоматичний підрахунок",23170
2,Erythrocytes [#/volume] in Blood by Automated count,"Еритроцити [кількість/об'єм] у крові, автоматичний підрахунок",22077
3,Erythrocyte [DistWidth] in Blood by Automated count,"Ширина розподілу еритроцитів (RDW) у крові, автоматичний підрахунок",20050
4,Leukocytes [#/volume] in Blood by Manual count,"Лейкоцити [кількість/об'єм] у крові, ручний підрахунок",18189
5,Phosphate [Mass/volume] in Serum or Plasma,Фосфати [маса/об'єм] у сироватці або плазмі,17480
6,Platelets [#/volume] in Blood by Automated count,"Тромбоцити [кількість/об'єм] у крові, автоматичний підрахунок",16704
7,Deprecated INR in Platelet poor plasma by Coagulation assay,"МНВ (INR) у плазмі, бідній на тромбоцити — коагуляційний аналіз (застаріле)",16536
8,Bicarbonate [Moles/volume] in Serum or Plasma,Бікарбонат [моль/об'єм] у сироватці або плазмі,15057
9,MCH [Entitic mass] by Automated count,"Середній вміст гемоглобіну в еритроциті (MCH), автоматичний підрахунок",14049
10,Urea nitrogen [Mass/volume] in Serum or Plasma,Азот сечовини [маса/об'єм] у сироватці або плазмі,12948
11,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,"Середня концентрація гемоглобіну в еритроциті (MCHC), автоматичний підрахунок",12048
12,"Carbon dioxide, total [Moles/volume] in Blood by calculation","Загальний CO₂ [моль/об'єм] у крові, розрахунковий",9328
13,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Лужна фосфатаза [активність/об'єм] у сироватці або плазмі,8880
14,Creatinine [Mass/volume] in Serum or Plasma,Креатинін [маса/об'єм] у сироватці або плазмі,8700
15,Hemoglobin [Mass/volume] in Blood,Гемоглобін [маса/об'єм] у крові,8616
16,Oxygen [Partial pressure] in Blood,Кисень [парціальний тиск] у крові,8162
17,Magnesium [Moles/volume] in Serum or Plasma,Магній [моль/об'єм] у сироватці або плазмі,7672
18,aPTT in Blood by Coagulation assay,"АЧТЧ (aPTT) у крові, коагуляційний аналіз",7095
19,Carbon dioxide [Partial pressure] in Blood,Вуглекислий газ [парціальний тиск] у крові,6996
20,Potassium [Moles/volume] in Serum or Plasma,Калій [моль/об'єм] у сироватці або плазмі,6837
21,Sodium [Moles/volume] in Serum or Plasma,Натрій [моль/об'єм] у сироватці або плазмі,6555
22,Chloride [Moles/volume] in Serum or Plasma,Хлориди [моль/об'єм] у сироватці або плазмі,6480
23,Anion gap in Serum or Plasma by Calculated.4Ions,"Аніонний інтервал у сироватці або плазмі, розрахунок 4 іонів",6402
24,Glucose [Mass/volume] in Serum or Plasma,Глюкоза [маса/об'єм] у сироватці або плазмі,6363
25,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,Лактатдегідрогеназа (ЛДГ) [активність/об'єм] у сироватці або плазмі,6345
26,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Аланінамінотрансфераза (АЛТ) [активність/об'єм] у сироватці або плазмі,6090
27,MCV [Entitic mean volume] in Red Blood Cells by Automated count,"Середній об'єм еритроцита (MCV), автоматичний підрахунок",6021
28,Base excess in Blood by calculation,"Надлишок основ у крові, розрахунковий",5830
29,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Аспартатамінотрансфераза (АСТ) [активність/об'єм] у сироватці або плазмі,5427
30,Calcium [Moles/volume] in Serum or Plasma,Кальцій [моль/об'єм] у сироватці або плазмі,5271
31,Deprecated Creatine kinase.MB,Креатинкіназа-МВ (застаріле),5104
32,Calcium.ionized [Moles/volume] in Blood,Іонізований кальцій [моль/об'єм] у крові,5022
33,Lymphocytes [#/volume] in Blood by Automated count,"Лімфоцити [кількість/об'єм] у крові, автоматичний підрахунок",4376
34,Prothrombin time (PT),Протромбіновий час (ПЧ),4134
35,Lactate [Moles/volume] in Blood,Лактат [моль/об'єм] у крові,4046
36,Eosinophils [#/volume] in Blood by Automated count,"Еозинофіли [кількість/об'єм] у крові, автоматичний підрахунок",3829
37,Neutrophils [#/volume] in Urine by Automated count,"Нейтрофіли [кількість/об'єм] у сечі, автоматичний підрахунок",3829
38,Bilirubin.total [Mass/volume] in Serum or Plasma,Загальний білірубін [маса/об'єм] у сироватці або плазмі,3774
39,Oxygen saturation in Blood,Насичення крові киснем (SpO₂),3430
40,Basophils [#/volume] in Blood by Automated count,"Базофіли [кількість/об'єм] у крові, автоматичний підрахунок",3282
