class_id,common_name,count
1,Hematocrit [Volume Fraction] of Blood by Automated count,23170
2,Erythrocytes [#/volume] in Blood by Automated count,22077
3,Erythrocyte [DistWidth] in Blood by Automated count,20050
4,Leukocytes [#/volume] in Blood by Manual count,18189
5,Phosphate [Mass/volume] in Serum or Plasma,17480
6,Platelets [#/volume] in Blood by Automated count,16704
7,Deprecated INR in Platelet poor plasma by Coagulation assay,16536
8,Bicarbonate [Moles/volume] in Serum or Plasma,15057
9,MCH [Entitic mass] by Automated count,14049
10,Urea nitrogen [Mass/volume] in Serum or Plasma,12948
11,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,12048
12,Carbon dioxide, total [Moles/volume] in Blood by calculation,9328
13,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,8880
14,Creatinine [Mass/volume] in Serum or Plasma,8700
15,Hemoglobin [Mass/volume] in Blood,8616
16,Oxygen [Partial pressure] in Blood,8162
17,Magnesium [Moles/volume] in Serum or Plasma,7672
18,aPTT in Blood by Coagulation assay,7095
19,Carbon dioxide [Partial pressure] in Blood,6996
20,Potassium [Moles/volume] in Serum or Plasma,6837
21,Sodium [Moles/volume] in Serum or Plasma,6555
22,Chloride [Moles/volume] in Serum or Plasma,6480
23,Anion gap in Serum or Plasma by Calculated.4Ions,6402
24,Glucose [Mass/volume] in Serum or Plasma,6363
25,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,6345
26,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,6090
27,MCV [Entitic mean volume] in Red Blood Cells by Automated count,6021
28,Base excess in Blood by calculation,5830
29,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,5427
30,Calcium [Moles/volume] in Serum or Plasma,5271
31,Deprecated Creatine kinase.MB,5104
32,Calcium.ionized [Moles/volume] in Blood,5022
33,Lymphocytes [#/volume] in Blood by Automated count,4376
34,Prothrombin time (PT),4134
35,Lactate [Moles/volume] in Blood,4046
36,Eosinophils [#/volume] in Blood by Automated count,3829
37,Neutrophils [#/volume] in Urine by Automated count,3829
38,Bilirubin.total [Mass/volume] in Serum or Plasma,3774
39,Oxygen saturation in Blood,3430
40,Basophils [#/volume] in Blood by Automated count,3282
41,Monocytes [#/volume] in Blood by Automated count,2735
42,Oxygen/Total gas setting [Volume Fraction] Ventilator,2704
43,Metamyelocytes/Leukocytes in Blood,2464
44,pH of Blood,2460
45,Erythrocytes [#/volume] in Urine sediment by Microscopy high power field,2330
46,Band form neutrophils [#/volume] in Blood by Manual count,2310
47,Leukocytes [#/area] in Urine sediment by Microscopy high power field,2270
48,Leukocyte esterase [Presence] in Urine by Test strip,2248
49,Variant lymphocytes [Presence] in Blood by Light microscopy,2112
50,Myelocytes/Leukocytes in Blood,2112
51,Epithelial cells [#/area] in Urine sediment by Microscopy high power field,1864
52,Troponin T.cardiac [Mass/volume] in Serum or Plasma,1728
53,Ketones [Mass/volume] in Urine by Test strip,1716
54,Bilirubin.total [Presence] in Urine by Test strip,1704
55,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,1670
56,Albumin [Mass/volume] in Serum or Plasma,1656
57,Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M,1656
58,Tidal volume setting Ventilator,1603
59,Bilirubin.direct [Mass/volume] in Serum or Plasma,1440
60,Appearance of Urine,1425
61,Hemoglobin [Presence] in Urine by Test strip,1420
62,Urobilinogen [Presence] in Urine by Test strip,1420
63,Platelets [#/volume] in Blood by Manual count,1376
64,Hematocrit [Volume Fraction] of Blood by calculation,1260
65,Amylase [Enzymatic activity/volume] in Serum or Plasma,1152
66,Color of Urine,1140
67,Bacteria [#/area] in Urine sediment by Microscopy high power field,1090
68,Positive end expiratory pressure setting Ventilator,1068
69,Macrocytes [Presence] in Blood by Light microscopy,1065
70,Lipase [Enzymatic activity/volume] in Serum or Plasma,1022
71,Specimen collection [Time] of Urine,972
72,Poikilocytosis [Presence] in Blood by Light microscopy,955
73,Yeast [#/area] in Urine sediment by Microscopy high power field,932
74,Specific gravity of Urine by Test strip,900
75,Polychromasia [Presence] in Blood by Light microscopy,870
76,Hypochromia [Presence] in Blood by Light microscopy,864
77,Glucose [Mass/volume] in Urine by Test strip,855
78,Nitrite [Presence] in Urine by Test strip,852
79,Glucose [Mass/volume] in Blood,849
80,Phenytoin [Presence] in Serum or Plasma,812
81,Microcytes [Presence] in Blood by Light microscopy,804
82,Potassium [Moles/volume] in Blood,768
83,Vancomycin [Mass/volume] in Serum or Plasma,704
84,Iron binding capacity [Mass/volume] in Serum or Plasma,686
85,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,650
86,Bilirubin.indirect [Mass/volume] in Serum or Plasma,648
87,Anisocytosis [Presence] in Blood by Light microscopy,645
88,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,644
89,Alveolar-arterial oxygen Partial pressure difference,640
90,pH of Urine by Test strip,600
91,Protein [Mass/volume] in Urine by Test strip,594
92,Granulocytes [#/volume] in Blood,594
93,Reticulocytes/Erythrocytes in Blood by Automated count,555
94,Nucleated erythrocytes [#/volume] in Blood by Manual count,528
95,Inhaled oxygen flow rate,528
96,Triglyceride [Mass/volume] in Serum or Plasma --12 hours fasting,518
97,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay,504
98,Acetaminophen [Presence] in Serum or Plasma,500
99,Creatinine [Mass/volume] in Urine,485
100,Urate [Mass/volume] in Serum or Plasma,474
101,Hepatitis B virus surface Ab [Units/volume] in Serum or Plasma by Immunoassay,460
102,Hemoglobin A1c/Hemoglobin.total in Blood,432
103,Cholesterol.total/Cholesterol in HDL [Percentile],408
104,Cortisol [Mass/volume] in Serum or Plasma,384
105,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,374
106,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,341
107,Dacrocytes [Presence] in Blood by Light microscopy,336
108,Sodium [Moles/volume] in Blood,321
109,Ovalocytes [Presence] in Blood by Light microscopy,320
110,Fibrin+Fibrinogen fragments [Mass/volume] in Platelet poor plasma,315
111,"Barbiturates [Presence] in Serum, Plasma or Blood",312
112,Thyrotropin [Units/volume] in Serum or Plasma,292
113,Cholesterol in HDL [Mass/volume] in Serum or Plasma,288
114,Lymphocytes/Leukocytes in Peritoneal fluid,285
115,Sodium [Moles/volume] in Urine,276
116,Osmolality of Urine,268
117,Deprecated Cholesterol.in LDL [Mass/volume] in Serum or Plasma,264
118,Salicylates [Presence] in Serum or Plasma,264
119,Urea nitrogen [Mass/volume] in Urine,264
120,Chloride [Moles/volume] in Blood,261
121,Schistocytes [Presence] in Blood by Light microscopy,255
122,Granulocytes/Leukocytes in Peritoneal fluid,247
123,Mucus [Presence] in Urine sediment by Light microscopy,244
124,Folate [Mass/volume] in Serum or Plasma,231
125,Platelets Large [Presence] in Blood by Automated count,230
126,Monocytes/Leukocytes in Peritoneal fluid,228
127,PHENobarbital [Presence] in Serum or Plasma,217
128,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,215
129,Erythrocytes [#/volume] in Peritoneal fluid,209
130,Cocaine [Presence] in Urine,209
131,Methadone [Presence] in Urine,209
132,Cholesterol [Mass/volume] in Serum or Plasma,200
133,Amphetamines [Presence] in Urine,190
134,Opiates [Presence] in Urine,190
135,Osmolality of Serum or Plasma,188
136,Burr cells [Presence] in Blood by Light microscopy,186
137,Lymphocytes/Leukocytes in Cerebral spinal fluid,180
138,Leukocytes [#/volume] in Peritoneal fluid,171
139,Barbiturates [Presence] in Urine,171
140,Ethanol [Presence] in Serum or Plasma,168
141,Phenytoin Free/Phenytoin.total in Serum or Plasma,168
142,Lymphocytes/Leukocytes in Pleural fluid,165
143,Haptoglobin [Mass/volume] in Serum or Plasma,164
144,Amorphous sediment [Presence] in Urine sediment by Light microscopy,162
145,Macrophages/Leukocytes in Peritoneal fluid by Manual count,156
